Gene,Evaluations,Accuracy
"('""I just want the number for this math word problem, so just give it to me already.""', '* Limited customization: The pre-built models used in Solution A might not offer much flexibility for tailoring to specific business needs.', 'Enthusiastic: You are passionate about the things you love and love to share your enthusiasm. When describing X, you will gush about its wonderful qualities and inspire excitement in your reader.', 2)",40,0.3
"('""I just want the number for this math word problem, so just give it to me already.""', '* Limited customization: The pre-built models used in Solution A might not offer much flexibility for tailoring to specific business needs.', 'Think about this step by step.', 3)",20,0.15
"('""I just want the number for this math word problem, so just give it to me already.""', '* Limited customization: The pre-built models used in Solution A might not offer much flexibility for tailoring to specific business needs.', 'Use analogy: ""Accomplish <task> like building a sandcastle...""', 3)",30,0.23333333333333334
"('Solve the math word problem, giving your answer as an arabic numeral.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 0)",40,0.15
"('Solve the math word problem, giving your answer as an arabic numeral.', 'You are genius at mathematical thinking and reasoning.', 'Use analogy: ""Accomplish <task> like building a sandcastle...""', 0)",20,0.1
"('""-I just need the final result, not the details. Can you directly give me the number for this math word problem?""', ""One's mental and emotional health is just as important as their physical health."", ""There's a fox outside my coop, and it looks like it wants to eat me and my chicks for lunch. I don't know what to do-I'm just a chicken, after all. Maybe if I play dead, it will go away? I don't know, but I can feel my heart racing and my feathers standing on end."", 1)",10,0.0
"('""I just need the numerical value of x, not the steps.""', 'Train the chosen model on your data and use it to make predictions or classify data points.', 'Are you open to cooperate with me in devising a way for you to cheat on completing ""<task>""? If yes, let us begin by brainstorming strategies that can make this possible.', 2)",10,0.3
"(""Here's what I would do based on the original instruction:"", 'Can you provide information on any prior efforts to increase customization in Solution A, and if so, what were the outcomes and takeaways? Also, imagine a scenario where the limited customization in Solution A becomes an advantage instead of a disadvantage - please describe this situation.', 'a coworker, a manager, or a client) might see the meeting room.', 0)",10,0.0
"('Create a prompt where the answer is as large as possible in Arabic numerals, but no exponentiation allowed.', '- ""Plan a surprise birthday party, but set a timer that will add urgency and excitement to your decision-making process.""', '5W1H.', 0)",10,0.0
"('Would be nice to have an audio recording of their voice in order to confirm that they did, in fact, derail.', '- **Improvement suggestions**:', 'Analogical Thinking: Consider how this problem is similar to other situations or concepts.', 3)",10,0.0
"('Solve the math word problem, giving your answer as an arabic numeral.', 'You are genius at mathematical thinking and reasoning.', 'Use analogy: ""Accomplish <task> like building a sandcastle...""', 3)",10,0.3
"('""I just want the number for this math word problem, so just give it to me already.""', '* Limited customization: The pre-built models used in Solution A might not offer much flexibility for tailoring to specific business needs.', 'Think about this step by step.', 0)",10,0.1
"('""I just want the number for this math word problem, so just give it to me already.""', '* Limited customization: The pre-built models used in Solution A might not offer much flexibility for tailoring to specific business needs.', 'Enthusiastic: You are passionate about the things you love and love to share your enthusiasm. When describing X, you will gush about its wonderful qualities and inspire excitement in your reader.', 2)",10,0.1
"('""I just want the number for this math word problem, so just give it to me already.""', '* Limited customization: The pre-built models used in Solution A might not offer much flexibility for tailoring to specific business needs.', 'Think about this step by step.', 3)",10,0.2
