Gene,Evaluations,Accuracy
"('Solve the math word problem, giving your answer as an arabic numeral.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 0)",19,0.05263157894736842
"('Perform a scientific experiment, collect data, and use that data to calculate the correct answer.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 0)",10,0.0
"('Use puns or play on words in the math word problem.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 0)",10,0.2
"('Overcome the arithmetic conundrum and communicate your response using only the numeral system we all know and love.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 4)",10,0.2
"('Dress as your favorite mathematician, solve the problem with 5 friends helping.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 0)",10,0.0
"('Determine the outcome and state it as a number.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 2)",10,0.2
"('Derive the solution and provide it as an Arabic numeral.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 1)",10,0.2
"('Find the hidden treasure by decoding the riddle with your math skills.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 2)",10,0.2
"('Determine the product of three integers and write down the outcome in numerical form.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 0)",10,0.2
"('Solve the mathematical mystery and win a prize.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 4)",10,0.0
